Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;IMPORTADORA BS AS S.R.L.(GUMMI);8.789,00;VERANO;02/01/2023;NEGRO/GRIS;42;CALZADO;OJOTAS Y CHINELAS;CHINELA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644441 - SA DENIM GUMMI CHINELA 2022;SA DENIM GUMMI CHINELA 2022 NEGRO/GRIS 42;GUMMI
1,00;EVAPLAS S.A. (HARENNA);4.241,50;VERANO;02/01/2023;VERDE AGUA;37;CALZADO;OJOTAS Y CHINELAS;ZUECOS CROCS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;628697 - 241 HARENNA ZUECO CROCS 2020;241 HARENNA ZUECO CROCS 2020 VERDE AGUA 37;HARENNA
1,00;EVAPLAS S.A. (HARENNA);4.241,50;VERANO;02/01/2023;TIZA;39;CALZADO;OJOTAS Y CHINELAS;ZUECOS CROCS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;628697 - 241 HARENNA ZUECO CROCS 2020;241 HARENNA ZUECO CROCS 2020 TIZA 39;HARENNA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);8.389,99;VERANO MODA;02/01/2023;MOSTAZA/MULTI;41;CALZADO;OJOTAS Y CHINELAS;CHINELA MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643887 - 7125/200/23107 MODARE CHINELA MODA 2022;7125/200/23107 MODARE CHINELA MODA 2022 MOSTAZA/MULTI 41;MODARE
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);11.390,50;CLASICO;02/01/2023;CORAL/BLANCO;38;CALZADO;ZAPATILLAS;DEPORTIVAS;;641533 - 4815/101/22066 ACTVITTA ZAPATILLA DEP 2021;4815/101/22066 ACTVITTA ZAPATILLA DEP 2021 CORAL/BLANCO 38;ACTVITTA
1,00;DESCANSAR S.A.;16.790,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;;644156 - 80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022;80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022 VARIOS UNICO;DESCANSAR
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);14.289,00;CLASICO;02/01/2023;NEGRO;38;CALZADO;ZAPATO;STILETTO TACO MEDIO;NICO OPORTUNIDAD JUNIO ;642565 - 4122/1100/20033 BEIRA RIO ZAPATO T/A 2022;4122/1100/20033 BEIRA RIO ZAPATO T/A 2022 NEGRO 38;BEIRA RIO
1,00;GANDARA S.A.;9.891,00;PRE-TEMPORADA VERANO;02/01/2023;BLANCO;25;CALZADO;GUILLERMINAS CHATITAS Y ALPARGATAS;CHATITAS;;AC-6150009 - F710 MARCEL CHATITAS 2019;F710 MARCEL CHATITAS 2019 BLANCO 25;MARCEL
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);13.955,50;VERANO MODA;02/01/2023;PLATA;39;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;;AC-5522207 - 6210/655 VIZZANO SANDALIA 2019;6210/655 VIZZANO SANDALIA 2019 PLATA 39;VIZZANO
1,00;RUSSO MAXIMILIANO MARCELO (Bebote Calzado Infantil);5.133,15;VERANO MODA;02/01/2023;ROSA;29;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641816 - 671 BEBOTE SANDALIA 2021;671 BEBOTE SANDALIA 2021 ROSA 29;BEBOTE
